eventname,EventLongName,EventShortName,LocalisedEventLongName,countrycode,seriesid,EventLocation,geometry
brimbank,Brimbank parkrun,Brimbank,,3,1,Brimbank Park,POINT (144.834123 -37.727547)
coburg,Coburg parkrun,Coburg,,3,1,Coburg Lake Reserve,POINT (144.968861 -37.733811)
traralgon,Traralgon parkrun,Traralgon,,3,1,Agnes Brereton Park,POINT (146.53648 -38.189632)
warnerlakes,Warner Lakes parkrun,Warner Lakes,,3,1,Dragonfly Park,POINT (152.955385 -27.306906)
narrabri,Narrabri parkrun,Narrabri,,3,1,Narrabri West Lake,POINT (149.755908 -30.33885)
thebeaches,The Beaches parkrun,The Beaches,,3,1,Dixon Park Beach boat ramp,POINT (151.760065 -32.946293)
warragul,Warragul parkrun,Warragul,,3,1,Brooker Park,POINT (145.932929 -38.151043)
taree,Taree parkrun,Taree,,3,1,Endeavour Place Reserve,POINT (152.468625 -31.910271)
dubbo,Dubbo parkrun,Dubbo,,3,1,Dubbo,POINT (148.591034 -32.256257)
menai,Menai parkrun,Menai,,3,1,Parc Menai,POINT (151.015082 -34.016364)
gawler,Gawler parkrun,Gawler,,3,1,Clonlea Reserve,POINT (138.750027 -34.590841)
kununurra,Kununurra parkrun,Kununurra,,3,1,Swim Beach Park,POINT (128.700113 -15.791571)
billrosesportscomplex,Bill Rose Sports Complex parkrun,Bill Rose Sports Complex,,3,1,Bill Rose Sports Complex,POINT (150.856114 -32.054009)
maryborough,Maryborough parkrun,Maryborough,,3,1,Anzac Park/Ululah Lagoon,POINT (152.686507 -25.533689)
goulburn,Goulburn parkrun,Goulburn,,3,1,Marsden Weir Park,POINT (149.706096 -34.736445)
mansfieldbotanic,Mansfield Botanic parkrun,Mansfield Botanic,,3,1,Mansfield Botanic Park,POINT (146.093889 -37.052419)
goondiwindi,Goondiwindi parkrun,Goondiwindi,,3,1,Goondiwindi,POINT (150.307043 -28.54951)
jells,Jells parkrun,Jells,,3,1,Jells Park,POINT (145.193976 -37.897912)
chippingnorton,Chipping Norton parkrun,Chipping Norton,,3,1,Black Muscat Park,POINT (150.964108 -33.909244)
mawsonlakes,Mawson Lakes parkrun,Mawson Lakes,,3,1,Mawson Lakes,POINT (138.616733 -34.81134)
clarevalley,Clare Valley parkrun,Clare Valley,,3,1,Clare Showgrounds,POINT (138.625011 -33.866335)
lancefield,Lancefield parkrun,Lancefield,,3,1,Lancefield Park,POINT (144.724258 -37.279321)
forestlake,Forest Lake parkrun,Forest Lake,,3,1,Forest Lake Sports Fields,POINT (152.967745 -27.61964)
hamiltonisland,Hamilton Island parkrun,Hamilton Island,,3,1,Hamilton Island,POINT (148.95513 -20.345551)
phillipisland,Phillip Island parkrun,Phillip Island,,3,1,Churchill Island,POINT (145.340674 -38.498822)
theponds,The Ponds parkrun,The Ponds,,3,1,The Ponds Community Hub,POINT (150.909187 -33.705952)
altonabeach,Altona Beach parkrun,Altona Beach,,3,1,Apex Park,POINT (144.811911 -37.875236)
rhodes,Rhodes parkrun,Rhodes,,3,1,West Concord,POINT (151.081803 -33.847462)
castlemaine,Castlemaine parkrun,Castlemaine,,3,1,Castlemaine Botanical Gardens,POINT (144.217649 -37.050794)
ashgrove,Ashgrove parkrun,Ashgrove,,3,1,Ashgrove Sportsground,POINT (152.972975 -27.442334)
bega,Bega parkrun,Bega,,3,1,Bega Racecourse,POINT (149.852269 -36.668409)
lochiel,Lochiel parkrun,Lochiel,,3,1,Geoff Health Golf,POINT (138.649251 -34.880815)
championlakes,Champion Lakes parkrun,Champion Lakes,,3,1,Champion Lakes,POINT (115.999535 -32.106314)
petrie,Petrie parkrun,Petrie,,3,1,Sweeney Reserve,POINT (152.974425 -27.273406)
paradisepoint,Paradise Point parkrun,Paradise Point,,3,1,Paradise Point,POINT (153.396218 -27.885082)
grafton,Grafton parkrun,Grafton,,3,1,Barnier Park,POINT (152.920487 -29.643847)
surfersparadise,Surfers Paradise parkrun,Surfers Paradise,,3,1,HOTA - Home of the Arts,POINT (153.417365 -28.000737)
highfields,Highfields parkrun,Highfields,,3,1,Kratzke Oval,POINT (151.938702 -27.453643)
nambour,Nambour parkrun,Nambour,,3,1,Parklands Regional Park,POINT (152.973543 -26.594251)
wyndhamvale,Wyndham Vale parkrun,Wyndham Vale,,3,1,Presidents Park,POINT (144.634532 -37.881655)
theterrace,The Terrace parkrun,The Terrace,,3,1,Riverside Park,POINT (151.738939 -32.761601)
woodbridgeriverside,Woodbridge Riverside parkrun,Woodbridge Riverside,,3,1,Woodbridge Riverside Park,POINT (115.99131 -31.887528)
sirromet,Sirromet parkrun,Sirromet,,3,1,Sirromet Wines,POINT (153.230817 -27.593935)
panania,Panania parkrun,Panania,,3,1,Field of Dreams Reserve,POINT (150.993483 -33.945673)
churchill,Churchill parkrun,Churchill,,3,1,Eel Hole Creek,POINT (146.422465 -38.312871)
bairnsdale,Bairnsdale parkrun,Bairnsdale,,3,1,Bairnsdale,POINT (147.632774 -37.823487)
studley,Studley parkrun,Studley,,3,1,Studley Park Boathouse,POINT (145.008858 -37.80083)
maylandspeninsula,Maylands Peninsula parkrun,Maylands Peninsula,,3,1,Clarkson Reserve,POINT (115.915089 -31.947167)
kedron,Kedron parkrun,Kedron,,3,1,Kedron,POINT (153.046297 -27.406927)
lalor,Lalor parkrun,Lalor,,3,1,Whittlesea Public Gardens,POINT (144.985422 -37.668084)
theentrance,The Entrance parkrun,The Entrance,,3,1,Picnic Point Reserve,POINT (151.493202 -33.338401)
portland,Portland parkrun,Portland,,3,1,Fawthrop Lagoon,POINT (141.60446 -38.354785)
cobram,Cobram parkrun,Cobram,,3,1,Thompsons Beach,POINT (145.668554 -35.913461)
westbeach,West Beach parkrun,West Beach,,3,1,Harold and Cynthia reserve,POINT (138.499643 -34.939218)
burleygriffin,Burley Griffin parkrun,Burley Griffin,,3,1,Weston Park,POINT (149.088585 -35.292148)
bowen,Bowen parkrun,Bowen,,3,1,Bowen,POINT (148.257052 -19.985467)
strathalbyn,Strathalbyn parkrun,Strathalbyn,,3,1,Rotary Park,POINT (138.89303 -35.258681)
renmark,Renmark parkrun,Renmark,,3,1,Renmark Riverfront,POINT (140.751235 -34.17425)
wagga,Wagga parkrun,Wagga,,3,1,Apex Park,POINT (147.378216 -35.170935)
meadowbrook,Meadowbrook parkrun,Meadowbrook,,3,1,Riverdale Park,POINT (153.155785 -27.673493)
wauchope,Wauchope parkrun,Wauchope,,3,1,Rocks Ferry Reserve,POINT (152.744034 -31.452159)
weipa,Weipa parkrun,Weipa,,3,1,Weipa,POINT (141.865454 -12.64068)
youyangs,You Yangs parkrun,You Yangs,,3,1,You Yangs Regional Park,POINT (144.40047 -37.953582)
christiesbeach,Christies Beach parkrun,Christies Beach,,3,1,Christies Beach,POINT (138.46916 -35.135628)
chelseabicentennial,Chelsea Bicentennial parkrun,Chelsea Bicentennial,,3,1,Chelsea Bicentennial Park,POINT (145.12656 -38.049247)
wilsonbotanic,Wilson Botanic parkrun,Wilson Botanic,,3,1,Wilson Botanic Park,POINT (145.339808 -38.026521)
moree,Moree parkrun,Moree,,3,1,Moree,POINT (149.843183 -29.46707)
palmerston,Palmerston parkrun,Palmerston,,3,1,Palmerston Water Park,POINT (130.982607 -12.475829)
orange,Orange parkrun,Orange,,3,1,Gosling Creek Reserve,POINT (149.089749 -33.325825)
shelley,Shelley parkrun,Shelley,,3,1,Shelley Foreshore,POINT (115.881886 -32.028968)
galston,Galston parkrun,Galston,,3,1,Fagan Park,POINT (151.043648 -33.642734)
willoughby,Willoughby parkrun,Willoughby,,3,1,Artarmon Reserve,POINT (151.193171 -33.811705)
karkarook,Karkarook parkrun,Karkarook,,3,1,Karkarook Park,POINT (145.086858 -37.940079)
nepeanriver,Nepean River parkrun,Nepean River,,3,1,Penrith,POINT (150.679885 -33.760087)
kamay,Kamay parkrun,Kamay,,3,1,Yarra Bay Beach,POINT (151.229992 -33.97993)
forster,Forster parkrun,Forster,,3,1,Forster,POINT (152.519554 -32.180174)
cohuna,Cohuna parkrun,Cohuna,,3,1,Cohuna,POINT (144.223054 -35.809232)
rootyhill,Rooty Hill parkrun,Rooty Hill,,3,1,Blacktown Football Park,POINT (150.868394 -33.783724)
underwoodpark,Underwood Park parkrun,Underwood Park,,3,1,Underwood Park,POINT (153.147211 -27.598691)
portfairy,Port Fairy parkrun,Port Fairy,,3,1,Russell Clark Reserve,POINT (142.229977 -38.389932)
tannumsands,Tannum Sands parkrun,Tannum Sands,,3,1,Canoe Point Park,POINT (151.364976 -23.93798)
mullummullum,Mullum Mullum parkrun,Mullum Mullum,,3,1,"Schwerkolt Cottage, Mitcham",POINT (145.21251 -37.811673)
lithgow,Lithgow parkrun,Lithgow,,3,1,Lithgow Pony Club,POINT (150.151201 -33.494173)
wondai,Wondai parkrun,Wondai,,3,1,Wondai,POINT (151.872411 -26.318523)
whiterock,White Rock parkrun,White Rock,,3,1,White Rock,POINT (152.849745 -27.676652)
newborough,Newborough parkrun,Newborough,,3,1,Moe Botanic Garden,POINT (146.270714 -38.178663)
darebin,Darebin parkrun,Darebin,,3,1,C T Barling Reserve,POINT (145.034293 -37.721239)
bundaberg,Bundaberg parkrun,Bundaberg,,3,1,Queens Park,POINT (152.330781 -24.86835)
calleya,Calleya parkrun,Calleya,,3,1,Treeby,POINT (115.876176 -32.126604)
ararat,Ararat parkrun,Ararat,,3,1,Alexandra Gardens,POINT (142.928756 -37.279712)
georgetown,George Town parkrun,George Town,,3,1,Kanamaluka trail,POINT (146.821208 -41.109186)
echucamoama,Echuca Moama parkrun,Echuca Moama,,3,1,Lions Park,POINT (144.739213 -36.139104)
applecross,Applecross parkrun,Applecross,,3,1,Jeff Joseph Reserve,POINT (115.834885 -32.006932)
timboon,Timboon parkrun,Timboon,,3,1,Timboon,POINT (142.977527 -38.483074)
ballinacoast,Ballina Coast parkrun,Ballina Coast,,3,1,Ballina,POINT (153.576356 -28.869637)
mountbeauty,Mount Beauty parkrun,Mount Beauty,,3,1,Mount Beauty,POINT (147.174015 -36.736278)
redlandbay,Redland Bay parkrun,Redland Bay,,3,1,Sel Outridge Park,POINT (153.307539 -27.614582)
mansfieldqld,"Mansfield parkrun, Queensland",Mansfield QLD,,3,1,Tillack Park,POINT (153.101744 -27.522987)
dollspoint,Dolls Point parkrun,Dolls Point,,3,1,Peter Depena Reserve,POINT (151.144928 -33.995775)
mernda,Mernda parkrun,Mernda,,3,1,Mernda Adventure Park,POINT (145.100493 -37.593706)
cleland,Cleland parkrun,Cleland,,3,1,Cleland Conservation Park,POINT (138.698602 -34.964185)
