eventname,EventLongName,EventShortName,LocalisedEventLongName,countrycode,seriesid,EventLocation,geometry
jeunepark,Jeune Park parkrun,Jeune Park,,3,1,Jeune Park,POINT (152.992548 -27.993368)
rexjacksonoval,Rex Jackson Oval parkrun,Rex Jackson Oval,,3,1,Rex Jackson Oval,POINT (150.981697 -34.188779)
nagambielake,Nagambie Lake parkrun,Nagambie Lake,,3,1,Nagambie Lake,POINT (145.148185 -36.786149)
bungendorecommon,Bungendore Common parkrun,Bungendore Common,,3,1,Bungendore Common,POINT (149.446987 -35.250379)
greatsouthernrailtrailkorumburra,"Great Southern Rail Trail parkrun, Korumburra","Great Southern Rail Trail, Korumburra",,3,1,"Great Southern Rail Trail, Korumburra",POINT (145.825156 -38.432179)
bindapark,Binda Park parkrun,Binda Park,,3,1,Binda Park,POINT (148.037729 -22.004623)
aubotanicgardenmountannan,Australian Botanic Garden Mount Annan parkrun,Australian Botanic Garden Mount Annan,,3,1,Australian Botanic Garden Mount Annan,POINT (150.766217 -34.066408)
seaview,Seaview parkrun,Seaview,,3,1,Seaview,POINT (149.165504 -21.035236)
pirrama,Pirrama parkrun,Pirrama,,3,1,Pirrama,POINT (151.191857 -33.865396)
samfordparklands,Samford Parklands parkrun,Samford Parklands,,3,1,Samford Parklands,POINT (152.88284 -27.356315)
oldeskrailwaystation,Old Esk Railway Station parkrun,Old Esk Railway Station,,3,1,Old Esk Railway Station,POINT (152.41977 -27.241567)
macquarieuniversity,Macquarie University parkrun,Macquarie University,,3,1,Macquarie University,POINT (151.114271 -33.774425)
workmansbeach,Workman’s Beach parkrun,Workman’s Beach,,3,1,Workman’s Beach,POINT (151.913142 -24.211762)
emeraldlake,Emerald Lake parkrun,Emerald Lake,,3,1,Emerald Lake,POINT (145.458234 -37.930268)
galupreserve,Galup Reserve parkrun,Galup Reserve,,3,1,Galup Reserve,POINT (115.821468 -31.925038)
aintreereserve,Aintree Reserve parkrun,Aintree Reserve,,3,1,Aintree Reserve,POINT (144.673619 -37.712795)
birtinyaisland,Birtinya Island parkrun,Birtinya Island,,3,1,Birtinya Island,POINT (153.120471 -26.74229)
grahamstownaquaticcentremedowie,"Grahamstown Aquatic Centre parkrun, Medowie","Grahamstown Aquatic Centre, Medowie",,3,1,"Grahamstown Aquatic Centre, Medowie",POINT (151.822113 -32.759748)
mareebarailtrail,Mareeba Rail Trail parkrun,Mareeba Rail Trail,,3,1,Mareeba Rail Trail,POINT (145.424039 -17.010074)
sirjamesmitchell,Sir James Mitchell parkrun,Sir James Mitchell,,3,1,Sir James Mitchell,POINT (115.878401 -31.971747)
waikeriewetlands,Waikerie Wetlands parkrun,Waikerie Wetlands,,3,1,Waikerie Wetlands,POINT (139.980451 -34.174394)
suratmemorialpark,Surat Memorial Park parkrun,Surat Memorial Park,,3,1,Surat Memorial Park,POINT (149.069512 -27.150931)
dragereserve,Drage Reserve parkrun,Drage Reserve,,3,1,Drage Reserve,POINT (138.640862 -34.887194)
burrumheadsbeach,Burrum Heads Beach parkrun,Burrum Heads Beach,,3,1,Burrum Heads Beach,POINT (152.630279 -25.204584)
skyriverpath,Sky River Path parkrun,Sky River Path,,3,1,Sky River Path,POINT (149.278952 -31.271095)
merredinpeak,Merredin Peak parkrun,Merredin Peak,,3,1,Merredin Peak,POINT (118.289452 -31.470564)
gainsboroughparklands,Gainsborough Parklands parkrun,Gainsborough Parklands,,3,1,Gainsborough Parklands,POINT (153.299229 -27.812345)
hoblersbridgereserve,Hoblers Bridge Reserve parkrun,Hoblers Bridge Reserve,,3,1,Hoblers Bridge Reserve,POINT (147.170722 -41.436491)
eildonpondage,Eildon Pondage parkrun,Eildon Pondage,,3,1,Eildon Pondage,POINT (145.906145 -37.242627)
pyramidhillgolftrail,Pyramid Hill Golf Trail parkrun,Pyramid Hill Golf Trail,,3,1,Pyramid Hill Golf Trail,POINT (144.137393 -36.050871)
alicespringstelegraphstation,Alice Springs Telegraph Station parkrun,Alice Springs Telegraph Station,,3,1,Alice Springs Telegraph Station,POINT (133.887883 -23.673314)
hiddenvale,Hidden Vale parkrun,Hidden Vale,,3,1,Hidden Vale,POINT (152.46597 -27.716932)
belvedere,Belvedere parkrun,Belvedere,,3,1,Belvedere,POINT (145.155851 -38.105426)
lakemaryanntingkkarli,Lake Mary Ann Tingkkarli parkrun,Lake Mary Ann Tingkkarli,,3,1,Lake Mary Ann Tingkkarli,POINT (134.211018 -19.608546)
